         x       f(x)_file            S(x)           Error
------------------------------------------------------------
  7.990000      0.00000000      0.00000000  0.00000000e+00
  8.090000      0.00002764      0.00002764  0.00000000e+00
  8.190000      0.04374980      0.04374980  0.00000000e+00
  8.700000      0.16918300      0.16918300  0.00000000e+00
  9.200000      0.46942800      0.46942800  0.00000000e+00
 10.000000      0.94374000      0.94374000  0.00000000e+00
 12.000000      0.99863600      0.99863600  0.00000000e+00
 15.000000      0.99991600      0.99991600  0.00000000e+00
 20.000000      0.99999400      0.99999400  0.00000000e+00
