N              error_R             error_S             error_G             
2              0.2734982378        0.0192984146        0.0217669736        
3              0.2273981030        0.0946727004        0.0229229152        
4              0.0927263628        0.0258837429        0.0015836670        
5              0.0576985168        0.0204737807        0.0025375845        
6              0.0276550375        0.0090000253        0.0003079108        
7              0.0161389856        0.0053392872        0.0004495098        
8              0.0078135334        0.0026964999        0.0001567280        
9              0.0047140895        0.0014803889        0.0001069732        
10             0.0020987613        0.0007787033        0.0000503756        
11             0.0014548944        0.0004179758        0.0000287738        
