N              error_R             error_S             error_G             
2              0.84216             0.01132             0.00002             
4              0.21794             0.00073             0.00000             
8              0.05496             0.00005             0.00000             
16             0.01377             0.00000             0.00000             
32             0.00344             0.00000             0.00000             
64             0.00086             0.00000             0.00000             
128            0.00022             0.00000             0.00000             
256            0.00005             0.00000             0.00000             
512            0.00001             0.00000             0.00000             
1024           0.00000             0.00000             0.00000             
