N              Quadrature          Analytical          error               
10             0.5087998148        0.5111111111        0.0023112963        
11             0.5092004442        0.5111111111        0.0019106669        
12             0.5095052976        0.5111111111        0.0016058135        
13             0.5097426301        0.5111111111        0.0013684810        
14             0.5099309990        0.5111111111        0.0011801121        
15             0.5100829995        0.5111111111        0.0010281116        
16             0.5102074235        0.5111111111        0.0009036877        
17             0.5103105584        0.5111111111        0.0008005527        
18             0.5103969973        0.5111111111        0.0007141138        
19             0.5104701582        0.5111111111        0.0006409530        
