n              Eps                 dq*fnorm            
0              3.5980319679        3.5980319679        
1              2.9653057017        3.4610818699        
2              2.6251640068        3.3293444352        
3              2.3750304539        3.2026212568        
4              2.1741880532        3.0807214797        
5              2.0057762618        2.9634615130        
6              1.8607958629        2.8506647540        
7              1.7337428330        2.7421613218        
8              1.6209480355        2.6377878017        
9              1.5198150816        2.5373869989        
10             1.4284242926        2.4408077019        
11             1.3453078065        2.3479044545        
12             1.2693130231        2.2585373371        
13             1.1995152162        2.1725717557        
14             1.1351591924        2.0898782395        
15             1.0756189572        2.0103322454        
16             1.0203690029        1.9338139708        
17             0.9689633535        1.8602081731        
18             0.9210199394        1.7894039963        
19             0.8762087259        1.7212948036        
20             0.8342425458        1.6557780171        
21             0.7948699142        1.5927549635        
22             0.7578693254        1.5321307249        
23             0.7230446720        1.4738139965        
24             0.6902215255        1.4177169487        
25             0.6592440891        1.3637550949        
26             0.6299726772        1.3118471642        
27             0.6022816139        1.2619149792        
28             0.5760574689        1.2138833381        
29             0.5511975640        1.1676799015        
30             0.5276087024        1.1232350832        
31             0.5052060799        1.0804819459        
32             0.4839123476        1.0393560999        
33             0.4636567998        0.9997956066        
34             0.4443746679        0.9617408845        
35             0.4260065035        0.9251346204        
36             0.4084976373        0.8899216823        
37             0.3917977028        0.8560490368        
38             0.3758602155        0.8234656688        
39             0.3606422003        0.7921225054        
40             0.3461038604        0.7619723411        
41             0.3322082829        0.7329697676        
42             0.3189211755        0.7050711045        
43             0.3062106317        0.6782343344        
44             0.2940469199        0.6524190388        
45             0.2824022951        0.6275863380        
46             0.2712508285        0.6036988319        
47             0.2605682554        0.5807205441        
48             0.2503318369        0.5586168674        
49             0.2405202367        0.5373545119        
50             0.2311134081        0.5169014548        
51             0.2220924931        0.4972268923        
52             0.2134397303        0.4783011929        
53             0.2051383722        0.4600958529        
54             0.1971726090        0.4425834537        
55             0.1895275005        0.4257376202        
56             0.1821889136        0.4095329813        
57             0.1751434653        0.3939451315        
58             0.1683784710        0.3789505942        
59             0.1618818972        0.3645267866        
60             0.1556423183        0.3506519851        
61             0.1496488768        0.3373052933        
62             0.1438912474        0.3244666100        
63             0.1383596031        0.3121165991        
64             0.1330445854        0.3002366605        
65             0.1279372753        0.2888089021        
66             0.1230291680        0.2778161128        
67             0.1183121486        0.2672417365        
68             0.1137784699        0.2570698474        
69             0.1094207323        0.2472851259        
70             0.1052318642        0.2378728354        
71             0.1012051049        0.2288188002        
72             0.0973339878        0.2201093842        
73             0.0936123253        0.2117314704        
74             0.0900341945        0.2036724409        
75             0.0865939240        0.1959201583        
76             0.0832860814        0.1884629469        
77             0.0801054614        0.1812895757        
78             0.0770470753        0.1743892409        
79             0.0741061404        0.1677515501        
80             0.0712780706        0.1613665064        
81             0.0685584671        0.1552244935        
82             0.0659431099        0.1493162609        
83             0.0634279500        0.1436329105        
84             0.0610091013        0.1381658826        
85             0.0586828337        0.1329069434        
86             0.0564455663        0.1278481727        
87             0.0542938609        0.1229819514        
88             0.0522244154        0.1183009506        
89             0.0502340590        0.1137981205        
90             0.0483197455        0.1094666793        
91             0.0464785489        0.1053001037        
92             0.0447076581        0.1012921183        
93             0.0430043719        0.0974366869        
94             0.0413660951        0.0937280028        
95             0.0397903333        0.0901604805        
96             0.0382746894        0.0867287471        
97             0.0368168598        0.0834276340        
98             0.0354146298        0.0802521695        
99             0.0340658709        0.0771975712        
100            0.0327685368        0.0742592385        
101            0.0315206606        0.0714327461        
102            0.0303203509        0.0687138371        
103            0.0291657897        0.0660984165        
104            0.0280552287        0.0635825454        
105            0.0269869871        0.0611624347        
106            0.0259594487        0.0588344394        
107            0.0249710595        0.0565950535        
108            0.0240203250        0.0544409041        
109            0.0231058082        0.0523687471        
110            0.0222261272        0.0503754616        
111            0.0213799531        0.0484580455        
112            0.0205660079        0.0466136111        
113            0.0197830623        0.0448393804        
114            0.0190299346        0.0431326814        
115            0.0183054877        0.0414909437        
116            0.0176086284        0.0399116945        
117            0.0169383052        0.0383925556        
118            0.0162935067        0.0369312389        
119            0.0156732601        0.0355255435        
120            0.0150766300        0.0341733525        
121            0.0145027166        0.0328726292        
122            0.0139506543        0.0316214147        
123            0.0134196107        0.0304178245        
124            0.0129087852        0.0292600460        
125            0.0124174075        0.0281463355        
126            0.0119447371        0.0270750155        
127            0.0114900613        0.0260444727        
128            0.0110526948        0.0250531549        
129            0.0106319785        0.0240995692        
130            0.0102272783        0.0231822793        
131            0.0098379842        0.0222999037        
132            0.0094635097        0.0214511136        
133            0.0091032904        0.0206346306        
134            0.0087567836        0.0198492249        
135            0.0084234671        0.0190937137        
136            0.0081028387        0.0183669592        
137            0.0077944154        0.0176678668        
138            0.0074977324        0.0169953836        
139            0.0072123428        0.0163484968        
140            0.0069378167        0.0157262321        
141            0.0066737404        0.0151276524        
142            0.0064197161        0.0145518561        
143            0.0061753612        0.0139979760        
144            0.0059403076        0.0134651780        
145            0.0057142011        0.0129526597        
146            0.0054967011        0.0124596490        
147            0.0052874802        0.0119854036        
148            0.0050862230        0.0115292092        
149            0.0048926264        0.0110903786        
150            0.0047063988        0.0106682511        
151            0.0045272598        0.0102621908        
152            0.0043549394        0.0098715861        
153            0.0041891781        0.0094958488        
154            0.0040297263        0.0091344131        
155            0.0038763437        0.0087867345        
156            0.0037287994        0.0084522894        
157            0.0035868711        0.0081305741        
158            0.0034503451        0.0078211041        
159            0.0033190156        0.0075234133        
160            0.0031926850        0.0072370534        
161            0.0030711629        0.0069615930        
