N              Eps                 dq*fnorm            
0              2.0189404319        2.0189404319        
1              1.8714571844        1.9134388423        
2              1.7576249550        1.8134503354        
3              1.6576368062        1.7186868198        
4              1.5667227349        1.6288752590        
5              1.4826819749        1.5437568838        
6              1.4043025449        1.4630864477        
7              1.3308355751        1.3866315194        
8              1.2617682666        1.3141718138        
9              1.1967175398        1.2454985567        
10             1.1353774773        1.1804138838        
11             1.0774918864        1.1187302704        
12             1.0228390587        1.0602699910        
